nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.23,0.23,0.22,0.28,0.21,0.28,0.21,0.32,0.24,0.29,0.23,0.26,0.24,0.29,0.26,0.29,0.23,0.41,0.24,0.48,0.25,0.55,0.24,0.39,0.26,0.46,0.27,0.54,0.23,0.23,0,0,0.21,0.23,0,0,0
0.25,0.13,0.22,0.19,0.21,0.17,0.21,0.35,0.29,0.26,0.24,0.2,0.27,0.23,0.28,0.2,0.25,0.48,0,0,0,0,0,0,0,0,0,0,0.25,0.12,0,0,0.24,0.12,0,0,0
0.31,0.19,0.32,0.2,0,0,0,0,0,0,0.33,0.2,0.31,0.28,0.27,0.31,0.35,0.32,0,0,0,0,0.35,0.33,0,0,0,0,0,0,0.31,0.19,0,0,0.31,0.17,0
0,0,0.17,0.19,0.13,0.17,0.12,0.39,0.2,0.26,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.17,0.22,0.22,0.21,0.22,0.23,0.33,0.27,0.26,0.23,0.22,0,0,0,0,0.26,0.45,0,0,0,0,0.27,0.42,0,0,0,0,0.24,0.16,0,0,0.23,0.16,0,0,0
0.27,0.31,0.26,0.31,0.25,0.28,0.22,0.32,0.24,0.35,0.27,0.32,0,0,0,0,0.21,0.38,0.22,0.46,0.23,0.51,0.23,0.38,0.24,0.44,0.23,0.51,0,0,0,0,0.27,0.28,0,0,0
0.29,0.19,0.3,0.23,0.28,0.25,0.28,0.31,0.27,0.29,0.32,0.23,0.32,0.31,0.33,0.36,0.29,0.36,0,0,0,0,0.32,0.35,0,0,0,0,0.29,0.19,0.3,0.17,0.29,0.19,0.31,0.19,0
0.3,0.22,0.31,0.23,0.29,0.25,0.29,0.31,0,0,0.32,0.22,0.33,0.29,0.31,0.32,0.3,0.36,0,0,0,0,0.32,0.35,0,0,0,0,0.29,0.2,0.3,0.2,0.29,0.2,0.31,0.19,0
0.32,0.19,0.33,0.23,0.32,0.23,0.31,0.29,0.3,0.28,0.35,0.22,0.35,0.28,0.33,0.25,0.33,0.35,0,0,0,0,0.35,0.33,0,0,0,0,0.32,0.17,0.33,0.17,0,0,0.34,0.19,0
0.29,0.19,0.29,0.23,0.28,0.25,0.29,0.31,0.29,0.32,0.31,0.23,0.34,0.31,0,0,0.3,0.35,0,0,0,0,0.32,0.35,0,0,0,0,0.28,0.19,0.29,0.17,0.27,0.19,0.3,0.19,0
0.29,0.19,0.31,0.22,0.31,0.22,0.3,0.28,0.28,0.23,0.31,0.22,0.28,0.26,0.28,0.23,0.32,0.33,0,0,0,0,0.32,0.33,0,0,0,0,0,0,0.3,0.19,0,0,0.31,0.19,0
0.22,0.15,0.2,0.23,0.17,0.22,0.15,0.36,0.2,0.33,0.23,0.23,0.27,0.29,0,0,0.22,0.49,0,0,0,0,0.26,0.45,0,0,0,0,0.21,0.15,0,0,0.2,0.16,0,0,0
0.32,0.22,0.34,0.25,0.33,0.26,0.33,0.32,0.31,0.29,0.34,0.25,0.35,0.32,0.32,0.35,0.33,0.38,0,0,0,0,0.34,0.38,0,0,0,0,0,0,0.32,0.2,0,0,0.33,0.2,0
0.34,0.16,0.36,0.17,0.35,0.19,0.36,0.28,0.33,0.25,0.37,0.16,0.41,0.26,0.38,0.32,0.37,0.33,0,0,0,0,0.4,0.32,0,0,0,0,0,0,0.34,0.16,0,0,0.34,0.13,0
0.29,0.17,0,0,0.25,0.2,0.31,0.31,0.34,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.16,0,0,0.26,0.17,0,0,0
0.22,0.15,0.2,0.2,0.17,0.2,0.18,0.35,0.24,0.22,0.23,0.2,0,0,0,0,0.23,0.51,0,0,0,0,0.27,0.45,0,0,0,0,0.22,0.13,0,0,0.2,0.13,0,0,0
0,0,0.32,0.22,0.32,0.23,0.32,0.28,0.32,0.23,0.34,0.2,0.34,0.19,0.31,0.19,0.33,0.32,0,0,0,0,0.35,0.31,0,0,0,0,0,0,0,0,0,0,0.32,0.19,0
0.32,0.2,0.33,0.23,0.32,0.23,0.32,0.29,0.32,0.26,0.34,0.22,0.35,0.28,0.33,0.25,0.33,0.33,0,0,0,0,0.35,0.32,0,0,0,0,0.31,0.2,0.32,0.19,0,0,0.32,0.19,0
0,0,0.21,0.19,0.18,0.19,0.21,0.35,0.27,0.25,0.23,0.2,0.26,0.23,0,0,0.24,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.13,0.14,0.22,0.11,0.2,0.08,0.35,0,0,0.17,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.12,0.17,0.12,0.15,0.12,0,0,0
0.29,0.17,0.3,0.22,0.29,0.23,0.27,0.22,0,0,0.31,0.22,0.27,0.19,0.24,0.16,0.31,0.33,0,0,0,0,0.32,0.33,0,0,0,0,0,0,0.29,0.17,0,0,0.3,0.19,0
0.27,0.23,0.3,0.25,0.29,0.26,0.3,0.31,0.29,0.33,0.31,0.25,0.32,0.31,0.3,0.33,0.32,0.33,0,0,0,0,0.33,0.33,0,0,0,0,0,0,0.27,0.23,0,0,0.28,0.22,0
0,0,0.2,0.19,0.23,0.2,0.24,0.29,0,0,0.16,0.17,0.09,0.28,0,0,0.25,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.15,0.18,0.13,0
0.27,0.23,0.26,0.26,0.25,0.26,0.26,0.31,0.28,0.29,0.26,0.26,0,0,0,0,0.27,0.36,0,0,0,0,0.27,0.35,0,0,0,0,0.26,0.23,0,0,0.26,0.23,0,0,0
0.26,0.19,0.26,0.25,0.24,0.26,0.24,0.32,0.25,0.32,0.28,0.23,0.32,0.26,0.31,0.32,0.27,0.41,0,0,0,0,0.29,0.38,0,0,0,0,0.25,0.19,0.26,0.17,0.24,0.2,0,0,0
0.29,0.23,0.32,0.23,0.31,0.25,0.31,0.28,0.3,0.29,0.32,0.23,0.35,0.26,0.32,0.29,0.33,0.33,0,0,0,0,0.34,0.33,0,0,0,0,0,0,0.29,0.22,0,0,0.3,0.2,0
0,0,0.24,0.17,0.22,0.17,0.19,0.33,0.27,0.28,0.26,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,0.23,0.32,0.23,0,0,0,0,0,0,0.32,0.23,0.34,0.26,0.32,0.28,0.33,0.33,0,0,0,0,0.34,0.32,0,0,0,0,0,0,0.31,0.22,0,0,0.31,0.2,0
0.28,0.2,0.29,0.23,0,0,0,0,0,0,0.29,0.22,0.28,0.22,0.26,0.2,0.31,0.32,0,0,0,0,0.31,0.32,0,0,0,0,0,0,0.28,0.2,0,0,0.29,0.2,0
0.17,0.16,0.14,0.23,0.11,0.22,0.12,0.44,0,0,0.17,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.15,0,0,0.15,0.15,0,0,0
0.25,0.2,0.23,0.25,0.23,0.25,0.23,0.32,0.26,0.28,0.25,0.25,0.27,0.25,0.27,0.23,0.25,0.39,0.27,0.51,0,0,0.27,0.38,0,0,0,0,0.24,0.2,0,0,0.24,0.2,0,0,0
0.3,0.26,0.32,0.26,0,0,0,0,0,0,0.32,0.25,0.32,0.31,0.3,0.33,0.35,0.33,0,0,0,0,0.36,0.33,0,0,0,0,0,0,0.3,0.26,0,0,0.31,0.25,0
0.2,0.15,0.18,0.22,0.14,0.2,0.15,0.41,0.22,0.28,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,0,0,0.18,0.15,0,0,0
